student_id,historical_gpa,credits_completed,academic_periods_completed,last_update
10126,2.97,107,2,2026-02-28
10127,4.12,68,1,2026-02-28
10128,3.93,106,4,2026-02-28
10129,3.95,69,1,2026-02-28
10130,3.1,24,1,2026-02-28
10131,4.25,107,5,2026-02-28
10132,2.85,180,5,2026-02-28
10133,3.84,22,1,2026-02-28
10134,4.65,26,1,2026-02-28
10135,3.05,107,4,2026-02-28
10136,3.27,42,5,2026-02-28
10137,3.6,86,10,2026-02-28
10138,3.3,39,4,2026-02-28
10140,2.77,59,8,2026-02-28
10141,3.58,97,12,2026-02-28
10142,3.02,19,2,2026-02-28
10143,3.79,72,7,2026-02-28
10144,3.09,37,4,2026-02-28
10145,4.32,92,1,2026-02-28
10147,3.16,45,1,2026-02-28
10148,3.39,84,7,2026-02-28
10150,3.96,99,2,2026-02-28
10151,2.93,49,4,2026-02-28
10152,3.66,25,4,2026-02-28
10153,4.2,13,2,2026-02-28
10154,2.75,175,5,2026-02-28
10155,3.64,71,1,2026-02-28
10156,3.68,77,9,2026-02-28
10157,3.94,100,6,2026-02-28
10158,2.93,53,6,2026-02-28
10159,2.89,14,1,2026-02-28
10160,3.81,112,3,2026-02-28
10161,3.7,110,2,2026-02-28
10162,3.68,27,4,2026-02-28
10163,3.72,32,2,2026-02-28
10164,3.21,97,5,2026-02-28
10165,3.67,112,7,2026-02-28
10166,3.7,173,12,2026-02-28
10167,3.19,89,6,2026-02-28
10168,4.48,141,5,2026-02-28
10169,3.79,101,2,2026-02-28
10170,2.95,36,2,2026-02-28
10171,3.88,30,2,2026-02-28
10172,3.06,15,2,2026-02-28
10173,3.94,64,8,2026-02-28
10174,4.13,112,7,2026-02-28
10175,3.14,87,9,2026-02-28
10176,4.03,105,4,2026-02-28
10177,3.76,117,5,2026-02-28
10178,3.96,119,5,2026-02-28
10179,4.5,43,2,2026-02-28
10180,3.43,92,11,2026-02-28
10181,3.17,86,10,2026-02-28
10182,3.11,65,4,2026-02-28
10183,3.14,89,3,2026-02-28
10184,3.51,41,4,2026-02-28
10185,3.72,117,7,2026-02-28
10187,3.69,28,1,2026-02-28
10188,3.96,43,3,2026-02-28
10189,3.56,70,1,2026-02-28
10190,4.28,99,8,2026-02-28
10191,3.42,143,12,2026-02-28
10192,4.9,39,1,2026-02-28
10193,3.86,53,1,2026-02-28
10194,3.12,65,2,2026-02-28
10195,3.01,36,1,2026-02-28
10196,3.79,88,3,2026-02-28
10197,3.44,73,7,2026-02-28
10198,3.91,95,2,2026-02-28
10199,3.79,40,1,2026-02-28
10200,3.51,37,2,2026-02-28
10201,3.13,36,6,2026-02-28
10202,2.79,26,2,2026-02-28
10203,3.33,41,6,2026-02-28
10204,3.98,63,1,2026-02-28
10205,3.66,119,1,2026-02-28
10206,2.93,34,5,2026-02-28
10207,3.64,103,7,2026-02-28
10208,3.74,111,1,2026-02-28
10209,3.11,24,4,2026-02-28
10210,3.63,17,3,2026-02-28
10211,3.58,99,3,2026-02-28
10212,2.98,53,5,2026-02-28
10213,3.73,105,3,2026-02-28
10215,3.83,64,10,2026-02-28
10216,4.09,75,4,2026-02-28
10217,4.08,42,4,2026-02-28
10218,2.86,112,9,2026-02-28
10219,3.08,27,1,2026-02-28
10221,3.81,41,5,2026-02-28
10222,3.81,121,3,2026-02-28
10223,3.81,137,4,2026-02-28
10224,4.9,79,9,2026-02-28
10225,3.84,74,7,2026-02-28
10226,4.12,163,6,2026-02-28
10227,4.03,54,5,2026-02-28
10228,3.88,180,8,2026-02-28
10229,3.39,116,10,2026-02-28
10230,3.93,28,3,2026-02-28
10231,3.16,133,5,2026-02-28
10232,3.43,71,1,2026-02-28
10233,3.31,124,10,2026-02-28
10234,3.59,88,1,2026-02-28
10235,4.71,83,1,2026-02-28
10236,2.62,27,3,2026-02-28
10237,3.89,134,4,2026-02-28
10238,2.74,92,2,2026-02-28
10239,3.31,51,4,2026-02-28
10240,4.09,82,9,2026-02-28
10241,3.58,13,2,2026-02-28
10243,3.01,97,6,2026-02-28
10244,3.19,17,2,2026-02-28
10245,3.89,51,6,2026-02-28
10246,3.18,83,6,2026-02-28
10247,3.66,135,1,2026-02-28
10248,3.57,93,10,2026-02-28
10249,3.22,156,3,2026-02-28
10250,4.62,144,4,2026-02-28
10075,3.15,49,1,2025-12-15
10222,3.73,121,3,2025-12-15
10193,3.78,53,1,2025-12-15
10011,3.74,107,11,2025-12-15
10136,3.19,42,5,2025-12-15
10118,3.43,60,3,2025-12-15
10209,3.03,24,4,2025-12-15
10102,3.31,53,2,2025-12-15
10238,2.66,92,2,2025-12-15
10017,3.19,162,2,2025-12-15
10240,4.01,82,9,2025-12-15
10059,3.94,106,6,2025-12-15
10203,3.33,41,6,2026-02-28
10095,4.01,77,12,2026-02-28
10133,3.84,22,1,2026-02-28
10238,2.74,92,2,2026-02-28
10235,4.71,83,1,2026-02-28
